,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.8086726859529513,0.9040922207857354,0.5638874322670862,0.8387935517420697,0.6744015887948155,0.567783170753269
Decision Tree,0.8610650451446471,0.90294263399004,0.7643524699599465,0.5954238169526781,0.6693949137679042,0.5904476178475737
KNN,0.8232295313555679,0.836773708986156,0.6422692533803644,0.5681227249089964,0.602924944812362,0.4913055025634418
Naive Bayes,0.46575763159511085,0.6976812550588071,0.3016028786391887,0.9589183567342694,0.4588776906806022,0.2673408366180815
Random Forest,0.8630305263804434,0.9156517165391078,0.7955376737381127,0.5655226209048362,0.6610942249240122,0.5915410675668725
XGBoost,0.872366562250476,0.9268504282591892,0.7683667273831208,0.6580863234529382,0.7089635854341737,0.6309387373649793
