,Accuracy,Precision,Recall,F1,MCC,AUC
Logistic Regression,0.8129971438223642,0.5756868843960601,0.8497640607065425,0.6863765130054081,0.581620996706704,0.9088971096869042
Decision Tree,0.8678787506526212,0.7873031336255886,0.6184160183650045,0.6927142857142857,0.6173188297090765,0.9246905373340449
KNN,0.875188108473327,0.7737353239599942,0.680780512689708,0.7242876526458616,0.6462526170789162,0.9362563865400895
Naive Bayes,0.47126930991062926,0.30889966977862937,0.9663308251498534,0.4681495211615694,0.27829147108264624,0.7032460122689259
Random Forest,0.8833266791560456,0.854561403508772,0.6212217829358501,0.7194446495827487,0.6612366622100778,0.9507911901138691
XGBoost,0.9039341543564386,0.8487494450199793,0.7314118097181482,0.7857240717906563,0.7275818484522356,0.9602831782279603
