,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.8119146322739137,0.9089588793050081,0.5736367539716617,0.8520408163265306,0.6856556325378497,0.5809132376862697
Decision Tree,0.8578228159066482,0.9071694893832154,0.7207702888583218,0.6683673469387755,0.6935804103242885,0.6019147950072661
KNN,0.8255796100107478,0.8453981681145663,0.6531914893617021,0.5873724489795918,0.6185359301544661,0.5070896980807409
Naive Bayes,0.42069706740365426,0.6832634747528941,0.29019980970504283,0.9725765306122449,0.4470174410083541,0.2363970052519832
Random Forest,0.8642714570858283,0.9203411635129279,0.7958477508650519,0.5867346938775511,0.6754772393538914,0.6031329193297427
XGBoost,0.8725625671733456,0.9303800994614225,0.7721238938053098,0.6677295918367347,0.7161422708618331,0.6373191819887897
